id,name,url,slug,type,country,continent,description,video,heroimage,trip advisor URL,trip advisor rating,trip advisor review total,trip advisor review URL,trip advisor description
A9CEEB47-41AD-4CBA-93FC-E4EE0E7EA63E,Kangaroo Island,https://www.urbanadventures.com/en/kangarooisland,/kangarooisland,City,Australia,Oceania ,"Take a scenic daytrip from Adelaide to the natural habitats of Kangaroo Island with Urban Adventures to discover why the Island is one of Australiaís iconic nature-based destinations. Just perfect introduction to unspoilt and natural wildlife haven as well as its untamed landscapes, white sandy beaches, and friendly locals.",,https://cdn.ventrata.com/image/upload/s--ZwgR6LxW--/v1744822018/p8q21ydqvmur7ifj6p2p.jpg,,,,,
12C8310D-7F94-488C-9514-468F5CCA6E9C,Melbourne,https://www.urbanadventures.com/en/melbourne,/melbourne,City,Australia,Oceania ,"Melbourne is home to more than 140 different cultures and filled with stunning Victorian arcades, theatres, and government buildings which line the cityís historic boulevards. These streets are filled with the 4 million or so residents who love watching just about any sport (particularly Aussie Rules Football), discovering hidden laneway bars and restaurants, and dining on some of the countryís best eats thanks to the culturally diverse population.",,https://cdn.ventrata.com/image/upload/s--woDHWy7P--/v1744819308/efjp5278waux31r7nwke.jpg,https://www.tripadvisor.com.au/Attraction_Review-g255100-d1856798-Reviews-Melbourne_Urban_Adventures-Melbourne_Victoria.html,,,,
2E405C19-C8AF-4914-A212-6801A69F9D71,Athens,https://www.urbanadventures.com/en/athens,/athens,City,Greece,Europe,"There are plenty of things to do in Athens, we all know that. But do you know what the locals do? Discover the Greek city of wonders with a local guide to gain some fresh perspective on an otherwise well-beaten path. Not merely catered for history buffs, these Athens tours also discover the very best in food and culture in this, one of the most ancient cities on Earth.",,https://cdn.ventrata.com/image/upload/s--VcpvKw5r--/v1744790324/vl8szchqcmktrwucnjo6.jpg,https://www.tripadvisor.com.au/Attraction_Review-g189400-d23381439-Reviews-Intrepid_Urban_Adventures_Athens-Athens_Attica.html,,,,
595AAABB-EAA1-44F9-A707-AEDEFD288020,Barcelona,https://www.urbanadventures.com/en/barcelona,/barcelona,City,Spain,Europe,"A melting pot of traditional Catalan culture and international trends, city life and beach bum bliss, Gaudi gothic architecture and modern buildings with a twist, Barcelona is nothing if not one of the most dynamic, varied, and vibrant cities in Europe. Join an Urban Adventures Barcelona tour to connect with the people who truly know where Barcelonaís heart and soul lies ñ the locals.",,https://cdn.ventrata.com/image/upload/s--urdFbYfh--/v1744800223/hw0fxm42rhhzy1xf8e7j.jpg,https://www.tripadvisor.com.au/Attraction_Review-g187497-d1856792-Reviews-Barcelona_Urban_Adventures-Barcelona_Catalonia.html,4.9,241 reviews,https://www.tripadvisor.com.au/Attraction_Review-g187497-d1856792-Reviews-Barcelona_Urban_Adventures-Barcelona_Catalonia.html#REVIEWS,"Barcelona Urban Adventures offers unique and authentic day tours around Barcelona. They range from 2 hour to 1 day adventures and uncover back streets, hidden gems, and fascinating sights. Step into the lives of locals, find out what makes the city tick, and get acquainted with the local food, culture, and traditions of Barcelona. A local expert guide will provide the knowledge and lead you through a fantastic urban experience."
FB1DF816-F285-43A2-AC75-8A7F1526A3B5,Bucharest,https://www.urbanadventures.com/en/bucharest,/bucharest,City,Romania,Europe,"Bucharest just might be Eastern Europeís best kept secret. ìLittle Paris,î as it was called by the first travellers, combines French sophistication with true Balkan passion for a bit of chaos and a whole lot of culture (and delicious food!). Few other cities better embody the wonderful clash of East and West, with plenty of friendly, loud, and colourful locals ready to welcome you.",,https://cdn.ventrata.com/image/upload/s--w1V17EcI--/v1744800313/cxdmgzl0chwqv9kyjdnx.jpg,https://www.tripadvisor.com.au/Attraction_Review-g294458-d23399337-Reviews-Intrepid_Urban_Adventures_Bucharest-Bucharest.html,4.9,614 reviews,https://www.tripadvisor.com.au/Attraction_Review-g294458-d23399337-Reviews-Intrepid_Urban_Adventures_Bucharest-Bucharest.html#REVIEWS,"Intrepid has been taking travellers around the globe since 1989. With locally based leaders out front of every adventure, they have more than 1000 immersive trips in over 100 countries to choose from. More than just good views and great times, these adventures connect you to the places you go, the people you meet along the way and the communities at the heart of every Intrepid experience."
88EA1C31-62A5-4E2B-936F-B472E8714219,Dubrovnik,https://www.urbanadventures.com/en/dubrovnik,/dubrovnik,City,Croatia,Europe,"Those who seek paradise on Earth must come to Dubrovnik,? so wrote a smitten George Bernard Shaw after a visit to the Dalmatian Coast nearly one hundred years a go. Very little has changed since then (except for the increasing numbers of visitors each year thanks a lot Game of Thrones). Not only does the city boast a dizzying assortment of exquisite palaces, churches and monasteries, as well as spell-bounding views from atop the city walls, it's also the gateway to the stunning Dalmatian Coast with its picture-perfect islets, renaissance parks and sprawling lemon and orange groves, all waiting to be explored. Take a unique tour with Urban Adventures and discover the highlights and hidden gems of Dubrovnik and beyond.",,https://cdn.ventrata.com/image/upload/s--Im7Camsn--/v1746896991/tezpja54hxvn3qfuckhj.jpg,https://www.tripadvisor.com.au/Attraction_Review-g295371-d8539932-Reviews-Dubrovnik_Urban_Adventures-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,5,38 reviews,https://www.tripadvisor.com.au/Attraction_Review-g295371-d8539932-Reviews-Dubrovnik_Urban_Adventures-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html#REVIEWS,"Dubrovnik Urban Adventures offers day tours with a local expert guide and biggest Game of Thrones fan in Dubrovnik. In only a few hours, you‚Äôll uncover back streets and hidden gems as you step into the lives of locals, find out what makes the city tick, and get acquainted with local food, culture, and traditions. This fantastic urban experience is sure to be your Best.Day.Ever in Dubrovnik."
ECC7BC45-1301-4045-868B-53DC4D1BC67E,Florence,https://www.urbanadventures.com/en/florence,/florence,City,Italy,Europe,"From tasting the distinctive flavours of Tuscany on a wine adventure, to discovering the local secrets behind the city's cuisine on a Florence food tour, these Florence tours get you in touch with this mesmerising Italian city in the best way possible - with a local. Get ready to loosen those belt loops...",,https://cdn.ventrata.com/image/upload/s--DNV_YVm9--/v1744816320/tbwgzex55cangfitcuoi.jpg,https://www.tripadvisor.com.au/Attraction_Review-g187895-d23471929-Reviews-Intrepid_Urban_Adventures_Florence-Florence_Tuscany.html,4.9,280 reviews,https://www.tripadvisor.com.au/Attraction_Review-g187895-d23471929-Reviews-Intrepid_Urban_Adventures_Florence-Florence_Tuscany.html#REVIEWS,"Intrepid has been taking travellers around the globe since 1989. With locally based leaders out front of every adventure, they have more than 1000 immersive trips in over 100 countries to choose from. More than just good views and great times, these adventures connect you to the places you go, the people you meet along the way and the communities at the heart of every Intrepid experience."
F82BBBA2-23C7-4665-971F-46ABAF3B2AD6,London,https://www.urbanadventures.com/en/london,/london,City,United Kingdom,Europe,"London is a leading global city and the most-visited destination in the world. With its diverse cultures and communities, buzzing nightlife, museums, and tourist attractions itís no wonder that the saying goes, ëIf youíre bored of London, youíre bored with life.í",,https://cdn.ventrata.com/image/upload/s--5luu4EIN--/v1744818712/om6e8f8eb3rwcely2hdc.jpg,,,,,
5982693C-506E-4B0E-AA64-2EAA5EB42B14,Madrid,https://www.urbanadventures.com/en/madrid,/madrid,City,Spain,Europe,"As a city thatís as timeless as it is modern, and as vibrant and energetic as it is quietly charming, Madrid is a city you absolutely must see if youíre travelling to Spain. From food to flamenco, discover all the different sides to the incredible Spanish capital on a unique, local tour with Urban Adventures.",,https://cdn.ventrata.com/image/upload/s--zwZWdmSh--/v1744818768/wa5w1zys7ug30hiptwk0.jpg,https://www.tripadvisor.com.au/Attraction_Review-g187514-d23584542-Reviews-Intrepid_Urban_Adventures_Madrid-Madrid.html,5,264 reviews,https://www.tripadvisor.com.au/Attraction_Review-g187514-d23584542-Reviews-Intrepid_Urban_Adventures_Madrid-Madrid.html#REVIEWS,"Intrepid has been taking travellers around the globe since 1989. With locally based leaders out front of every adventure, they have more than 1000 immersive trips in over 100 countries to choose from. More than just good views and great times, these adventures connect you to the places you go, the people you meet along the way and the communities at the heart of every Intrepid experience."
02A3DAF2-B585-4C55-B7B8-B074BADC6B82,Paris,https://www.urbanadventures.com/en/paris,/paris,City,France,Europe,"From the back streets to the bakeries, there is something to delight the senses around every corner in Paris. Jump on a Paris tour with Urban Adventures to discover the most visited city in the world from a different angle. Once you see the city from a local eye, youíll leave Paris with lifelong memories (and, more importantly, memories that are different from the other 27 million people who visit Paris each year!).",https://www.youtube.com/watch?v=7cjNf_6Tkw8;https://www.youtube.com/watch?v=y2Pwbshj_HU,https://cdn.ventrata.com/image/upload/s--u5QXFX_1--/v1744819895/gba1elwpksxg50xzbovu.jpg,https://www.tripadvisor.com.au/Attraction_Review-g187147-d2163023-Reviews-Paris_Urban_Adventures-Paris_Ile_de_France.html,4.9,"1,108 reviews",https://www.tripadvisor.com.au/Attraction_Review-g187147-d2163023-Reviews-Paris_Urban_Adventures-Paris_Ile_de_France.html#REVIEWS,"Intrepid Urban Adventures offer small group day tours run by passionate locals in over 70 cities around the world. We are passionate about uncovering back streets and hidden gems as you step into the lives of locals, find out what makes the city tick, and get acquainted with local food, culture, and traditions. #localsknow"
8E01D982-B3B2-4286-A894-40442689CC02,Split,https://www.urbanadventures.com/en/split,/split,City,Croatia,Europe,"Known to in-the-know travellers for years as the gateway to some of Croatia's most breath-taking islands (hello Hvar!), Split has enjoyed a deserving renaissance recently as a city break destination in its own right. Offering visitors a fantastically atmospheric old centre to explore that has grown within the walls of an Ancient Roman palace (it's a UNESCO World Heritage site, no less). Other city highlights include the Riva Promenade, where locals and tourists flock for a drink and to engage in a spot of people watching. Plus there's stunning beaches to enjoy and superb parks and Game of Thrones locations to visit! And did we mention the food?! Oh wow, with obvious Italian (mainly Venetian) influences and access to superb seafood straight from the Adriatic Sea, Split's culinary credentials are well worth the plane ticket alone. Book a tour with us today and discover the best of Split, with a local by your side.",,https://cdn.ventrata.com/image/upload/s--XaspDLFR--/v1744821955/p9wuq4rgm6iv5dxbwnfg.jpg,https://www.tripadvisor.com.au/Attraction_Review-g295370-d25179925-Reviews-Intrepid_Urban_Adventures_Split-Split_Split_Dalmatia_County_Dalmatia.html,4.7,16 reviews,https://www.tripadvisor.com.au/Attraction_Review-g295370-d25179925-Reviews-Intrepid_Urban_Adventures_Split-Split_Split_Dalmatia_County_Dalmatia.html#REVIEWS,"Intrepid has been taking travellers around the globe since 1989. With locally based leaders out front of every adventure, they have more than 1000 immersive trips in over 100 countries to choose from. More than just good views and great times, these adventures connect you to the places you go, the people you meet along the way and the communities at the heart of every Intrepid experience."
EEB27A41-503A-49C1-953A-C9BA5BB3B4AA,Venice,https://www.urbanadventures.com/en/venice,/venice,City,Italy,Europe,"As one of the world's most famous destinations, Venice is just made to be explored. Consisting of 118 islands and 150 canals, there's certainly plenty of ground (and water!) to cover. Our Venice tours are designed to show you the very best things to do in Venice, from tapas and wine, to the beautiful landmarks in all their glory. Venture through Venice with a local to discover this unique Italian gem.",,https://cdn.ventrata.com/image/upload/s--FQDmkeGw--/v1744820362/db7e7x4nprdzom8v7sot.jpg,https://www.tripadvisor.com.au/Attraction_Review-g187870-d23475599-Reviews-Intrepid_Urban_Adventures_Venice-Venice_Veneto.html,4.9,"2,206 reviews",https://www.tripadvisor.com.au/Attraction_Review-g187870-d23475599-Reviews-Intrepid_Urban_Adventures_Venice-Venice_Veneto.html#REVIEWS,"Intrepid has been taking travellers around the globe since 1989. With locally based leaders out front of every adventure, they have more than 1000 immersive trips in over 100 countries to choose from. More than just good views and great times, these adventures connect you to the places you go, the people you meet along the way and the communities at the heart of every Intrepid experience."
